rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,likes_to_followers_ratio,engagement_score,activity_level,follower_tier,engagement_level,post_per_million_followers,influence_per_post,country_rank
186,paollaoliveirareal,84,4600.0,34700000.0,367800.0,0.57,192300.0,1700000000.0,Not Provided,0.010599423631123919,47.879999999999995,High,Macro (10M - 100M),Low,132.56484149855908,0.018260869565217393,55.0
187,blakelively,80,110.0,34600000.0,3100000.0,0.02,0.0,350900000.0,United States,0.08959537572254335,1.6,Low,Macro (10M - 100M),Low,3.179190751445087,0.7272727272727273,61.0
188,adidasoriginals,83,150.0,34200000.0,136200.0,0.2,66800.0,21200000.0,Not Provided,0.003982456140350877,16.6,Low,Macro (10M - 100M),Low,4.385964912280701,0.5533333333333333,56.0
189,disney,77,7300.0,34200000.0,185200.0,0.44,132000.0,1400000000.0,United States,0.005415204678362573,33.88,High,Macro (10M - 100M),Low,213.4502923976608,0.010547945205479452,62.0
190,shaymitchell,83,6300.0,34100000.0,732400.0,0.73,247500.0,4600000000.0,United States,0.02147800586510264,60.589999999999996,High,Macro (10M - 100M),Low,184.7507331378299,0.013174603174603174,63.0
191,bmw,79,9300.0,33700000.0,231300.0,0.23,76500.0,2200000000.0,Germany,0.006863501483679525,18.17,High,Macro (10M - 100M),Low,275.96439169139467,0.00849462365591398,1.0
192,danbilzerian,84,1400.0,33600000.0,2000000.0,3.58,1200000.0,2800000000.0,Canada,0.05952380952380952,300.72,Medium,Macro (10M - 100M),High,41.666666666666664,0.06,3.0
193,khabib_nurmagomedov,63,4500.0,33500000.0,685100.0,0.67,220700.0,3100000000.0,Russia,0.020450746268656717,42.21,High,Macro (10M - 100M),Low,134.32835820895522,0.014,1.0
194,zidane,41,370.0,33500000.0,1100000.0,1.61,532700.0,391900000.0,France,0.03283582089552239,66.01,Low,Macro (10M - 100M),Medium,11.044776119402984,0.11081081081081082,5.0
195,sonamkapoor,75,4800.0,33299999.999999996,264700.0,0.63,209200.0,1300000000.0,India,0.00794894894894895,47.25,High,Macro (10M - 100M),Low,144.14414414414415,0.015625,12.0
196,iambeckyg,71,2300.0,33200000.000000004,623800.0,1.4,464700.0,1400000000.0,United States,0.018789156626506022,99.39999999999999,Medium,Macro (10M - 100M),Medium,69.27710843373492,0.030869565217391304,64.0
197,nancyajram,81,3800.0,33200000.000000004,390400.0,0.64,208000.0,1500000000.0,France,0.011759036144578312,51.84,High,Macro (10M - 100M),Low,114.45783132530119,0.02131578947368421,6.0
198,luansantana,79,770.0,33200000.000000004,193300.0,0.26,82600.0,149200000.0,Brazil,0.005822289156626506,20.54,Low,Macro (10M - 100M),Low,23.192771084337345,0.1025974025974026,13.0
199,nickjonas,78,2300.0,33000000.0,719600.0,1.42,467700.0,1700000000.0,United States,0.021806060606060607,110.75999999999999,Medium,Macro (10M - 100M),Medium,69.6969696969697,0.03391304347826087,65.0
200,raisa6690,80,4200.0,32799999.999999996,232200.0,0.3,97400.0,969100000.0,Indonesia,0.007079268292682928,24.0,High,Macro (10M - 100M),Low,128.0487804878049,0.01904761904761905,7.0
